"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW7";"RotaryEncoder_Alps_EC11E_Vertical_H20mm";1;"RotaryEncoder";;;
2;"U1";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
3;"SW3,SW6,SW5,SW4,SW2,SW1";"SW_Cherry_MX_1.00u_PCB";6;"SW_Push";;;
4;"D4,D3";"LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm";2;"SK6812MINI";;;
